Time,"Idle","Exceptions","Event Recorder"
1.115441,,,0xf00b,
1.115752,,,0xf00b,
1.125351,,,0xf010,
1.125441,,,0xf00b,
1.125752,,,0xf00b,
1.135351,,,0xf010,
1.135441,,,0xf00b,
1.135752,,,0xf00b,
1.145350,,,0xf010,
1.145440,,,0xf00b,
1.145751,,,0xf00b,
1.155350,,,0xf010,
1.155440,,,0xf00b,
1.155751,,,0xf00b,
1.165350,,,0xf010,
1.165440,,,0xf00b,
1.165751,,,0xf00b,
1.175350,,,0xf010,
1.175440,,,0xf00b,
1.175751,,,0xf00b,
1.185350,,,0xf010,
1.185440,,,0xf00b,
1.185751,,,0xf00b,
1.195350,,,0xf010,
1.195440,,,0xf00b,
1.195751,,,0xf00b,
1.205350,,,0xf010,
1.205440,,,0xf00b,
1.205751,,,0xf00b,
1.215350,,,0xf010,
1.215440,,,0xf00b,
1.215751,,,0xf00b,
1.225350,,,0xf010,
1.225440,,,0xf00b,
1.225751,,,0xf00b,
1.235350,,,0xf010,
1.235440,,,0xf00b,
1.235751,,,0xf00b,
1.245350,,,0xf010,
1.245440,,,0xf00b,
1.245751,,,0xf00b,
1.255350,,,0xf010,
1.255440,,,0xf00b,
1.255751,,,0xf00b,
1.265350,,,0xf010,
1.265440,,,0xf00b,
1.265751,,,0xf00b,
1.275350,,,0xf010,
1.275440,,,0xf00b,
1.275751,,,0xf00b,
1.285350,,,0xf010,
1.285440,,,0xf00b,
1.285751,,,0xf00b,
1.295350,,,0xf010,
1.295440,,,0xf00b,
1.295751,,,0xf00b,
1.305350,,,0xf010,
1.305440,,,0xf00b,
1.305751,,,0xf00b,
1.315350,,,0xf010,
1.315440,,,0xf00b,
1.315751,,,0xf00b,
1.325350,,,0xf010,
1.325440,,,0xf00b,
1.325751,,,0xf00b,
1.335350,,,0xf010,
1.335440,,,0xf00b,
1.335751,,,0xf00b,
1.345350,,,0xf010,
1.345440,,,0xf00b,
1.345751,,,0xf00b,
1.355350,,,0xf010,
1.355440,,,0xf00b,
1.355751,,,0xf00b,
1.365350,,,0xf010,
1.365440,,,0xf00b,
1.365751,,,0xf00b,
1.375350,,,0xf010,
1.375440,,,0xf00b,
1.375751,,,0xf00b,
1.385350,,,0xf010,
1.385440,,,0xf00b,
1.385751,,,0xf00b,
1.395350,,,0xf010,
1.395440,,,0xf00b,
1.395751,,,0xf00b,
1.405350,,,0xf010,
1.405440,,,0xf00b,
1.405751,,,0xf00b,
1.415350,,,0xf010,
1.415440,,,0xf00b,
1.415751,,,0xf00b,
1.425350,,,0xf010,
1.425440,,,0xf00b,
1.425751,,,0xf00b,
1.435350,,,0xf010,
1.435440,,,0xf00b,
1.435751,,,0xf00b,
1.445350,,,0xf010,
1.445440,,,0xf00b,
1.445751,,,0xf00b,
1.455350,,,0xf010,
1.455440,,,0xf00b,
1.455751,,,0xf00b,
1.465350,,,0xf010,
1.465440,,,0xf00b,
1.465751,,,0xf00b,
1.475350,,,0xf010,
1.475440,,,0xf00b,
1.475751,,,0xf00b,
1.485350,,,0xf010,
1.485440,,,0xf00b,
1.485751,,,0xf00b,
1.495350,,,0xf010,
1.495440,,,0xf00b,
1.495753,,,0xf00b,
1.505350,,,0xf010,
1.505486,,,0xf010,
1.505576,,,0xf00b,
1.505875,,,0xf00b,
1.506185,,,0xf00b,
1.515350,,,0xf010,
1.515440,,,0xf00b,
1.515751,,,0xf00b,
1.525350,,,0xf010,
1.525440,,,0xf00b,
1.525751,,,0xf00b,
1.535350,,,0xf010,
1.535440,,,0xf00b,
1.535751,,,0xf00b,
1.545350,,,0xf010,
1.545440,,,0xf00b,
1.545751,,,0xf00b,
1.555350,,,0xf010,
1.555440,,,0xf00b,
1.555751,,,0xf00b,
1.565350,,,0xf010,
1.565440,,,0xf00b,
1.565751,,,0xf00b,
1.575350,,,0xf010,
1.575440,,,0xf00b,
1.575751,,,0xf00b,
1.585350,,,0xf010,
1.585440,,,0xf00b,
1.585751,,,0xf00b,
1.595350,,,0xf010,
1.595440,,,0xf00b,
1.595751,,,0xf00b,
